comparison_level	dataset	scope	feature	top10_threshold_ARG_annotations	denominator_MAG_count	MAG_count	annotation_count	annotation_percent	unique_ARG_name_count	multidrug_ARG_annotation_count	multidrug_ARG_percent_within_feature
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	multidrug	NA	1590	1319	21411	53.1527729506976	101	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	fluoroquinolone antibiotic	NA	1590	1036	3866	9.5973387617298	20	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	peptide antibiotic	NA	1590	1002	3537	8.78059679261209	16	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	nucleoside antibiotic	NA	1590	916	2454	6.09205104016682	4	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	aminocoumarin antibiotic	NA	1590	803	1830	4.54297204706817	3	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	aminoglycoside antibiotic	NA	1590	954	1698	4.21528226006653	42	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	phosphonic acid antibiotic	NA	1590	950	1601	3.97447991658805	14	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	beta-lactam	NA	1590	985	1211	3.0063055459014	97	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	tetracycline antibiotic	NA	1590	654	1197	2.97155056849213	23	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	nitroimidazole antibiotic	NA	1590	885	885	2.1970110719428	2	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	elfamycin antibiotic	NA	1590	227	231	0.573457127252867	1	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	sulfonamide antibiotic	NA	1590	108	110	0.273074822501365	3	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	phenicol antibiotic	NA	1590	80	96	0.238319845092101	17	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	diaminopyrimidine antibiotic	NA	1590	65	69	0.171292388659947	12	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	MLS	NA	1590	52	66	0.163844893500819	25	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	bicyclomycin antibiotic	NA	1590	7	7	0.0173774887046323	1	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	glycopeptide antibiotic	NA	1590	1	7	0.0173774887046323	7	NA	NA
ARG_type	Pseudomonadota AR-MAG	all_AR_MAGs	nitrofuran antibiotic	NA	1590	6	6	0.0148949903182563	1	NA	NA
ARG_type	Livestock isolate Pseudomonadota	all_isolates	multidrug	NA	3521	3426	81187	48.320418050447	120	NA	NA
ARG_type	Livestock isolate Pseudomonadota	all_isolates	peptide antibiotic	NA	3521	3173	13982	8.32172743396541	28	NA	NA
ARG_type	Livestock isolate Pseudomonadota	all_isolates	fluoroquinolone antibiotic	NA	3521	3229	13094	7.79321263197991	32	NA	NA
ARG_type	Livestock isolate Pseudomonadota	all_isolates	aminoglycoside antibiotic	NA	3521	3384	12706	7.56228499327453	58	NA	NA
ARG_type	Livestock isolate Pseudomonadota	all_isolates	aminocoumarin antibiotic	NA	3521	3123	8602	5.11968955707127	3	NA	NA
ARG_type	Livestock isolate Pseudomonadota	all_isolates	tetracycline antibiotic	NA	3521	2905	7878	4.68878334464165	18	NA	NA
ARG_type	Livestock isolate Pseudomonadota	all_isolates	nucleoside antibiotic	NA	3521	2456	7139	4.24894951731362	4	NA	NA
ARG_type	Livestock isolate Pseudomonadota	all_isolates	phosphonic acid antibiotic	NA	3521	3169	6221	3.70257948553131	17	NA	NA
ARG_type	Livestock isolate Pseudomonadota	all_isolates	beta-lactam	NA	3521	2856	5133	3.05502981823376	161	NA	NA
ARG_type	Livestock isolate Pseudomonadota	all_isolates	nitroimidazole antibiotic	NA	3521	3152	3154	1.87717982597103	1	NA	NA
ARG_type	Livestock isolate Pseudomonadota	all_isolates	sulfonamide antibiotic	NA	3521	1774	2527	1.50400552321775	4	NA	NA
ARG_type	Livestock isolate Pseudomonadota	all_isolates	elfamycin antibiotic	NA	3521	1010	1607	0.956445142782321	1	NA	NA
ARG_type	Livestock isolate Pseudomonadota	all_isolates	phenicol antibiotic	NA	3521	1170	1562	0.92966229808711	20	NA	NA
ARG_type	Livestock isolate Pseudomonadota	all_isolates	MLS	NA	3521	837	1550	0.922520206168387	22	NA	NA
ARG_type	Livestock isolate Pseudomonadota	all_isolates	diaminopyrimidine antibiotic	NA	3521	1199	1362	0.81062743277506	20	NA	NA
ARG_type	Livestock isolate Pseudomonadota	all_isolates	rifamycin antibiotic	NA	3521	154	156	0.0928471949433989	3	NA	NA
