dataset	cutoff_label	cutoff_kb	cutoff_bp	retained_ARG_annotations	retained_ARG_annotation_percent	retained_unique_ARG_names	retained_MAG_count	original_denominator_MAG_count	mean_ARG_annotations_per_MAG_original_denominator	median_ARG_annotations_per_MAG_original_denominator	mean_unique_ARG_names_per_MAG_original_denominator	retained_MAG_only_mean_ARG_annotations_per_MAG	retained_MAG_only_median_ARG_annotations_per_MAG
Pseudomonadota AR-MAG	No cutoff	0	0	40282	100	389	1590	1590	25.3345911949686	31	25.285534591195	25.3345911949686	31
Pseudomonadota AR-MAG	>=1 kb	1	1000	40282	100	389	1590	1590	25.3345911949686	31	25.285534591195	25.3345911949686	31
Pseudomonadota AR-MAG	>=2 kb	2	2000	39689	98.527878456879	376	1566	1590	24.9616352201258	30	24.9194968553459	25.3441890166028	31
Pseudomonadota AR-MAG	>=3 kb	3	3000	38626	95.8889826721613	359	1532	1590	24.2930817610063	28	24.2578616352201	25.2127937336815	30
Pseudomonadota AR-MAG	>=4 kb	4	4000	37463	93.0018370488059	342	1491	1590	23.5616352201258	26	23.5308176100629	25.1260898725687	30
Pseudomonadota AR-MAG	>=5 kb	5	5000	36239	89.9632590238816	327	1457	1590	22.7918238993711	25	22.7616352201258	24.8723404255319	28
Livestock isolate Pseudomonadota	No cutoff	0	0	168018	100	516	3521	3521	47.7188298778756	51	47.4422039193411	47.7188298778756	51
Livestock isolate Pseudomonadota	>=1 kb	1	1000	167705	99.8137104357866	515	3521	3521	47.6299346776484	51	47.3538767395626	47.6299346776484	51
Livestock isolate Pseudomonadota	>=2 kb	2	2000	165753	98.651930150341	507	3521	3521	47.0755467196819	51	46.8031809145129	47.0755467196819	51
Livestock isolate Pseudomonadota	>=3 kb	3	3000	164107	97.6722732088229	504	3520	3521	46.6080658903721	51	46.3374041465493	46.6213068181818	51
Livestock isolate Pseudomonadota	>=4 kb	4	4000	161903	96.3605089930841	499	3516	3521	45.9821073558648	51	45.7122976427151	46.0474971558589	51
Livestock isolate Pseudomonadota	>=5 kb	5	5000	160060	95.2636027092335	495	3508	3521	45.4586765123544	50	45.1917069014485	45.6271379703535	50
