sample	Continent	Shannon_index	nReads	sum_len	num_seqs	Shannon_residual
CNS0178468	Asia	6.7083	155228005	953400257	1149226	0.714824038904875
CNS0178469	Asia	5.69734	123560759	919036460	1198741	-0.219275019263476
CNS0178470	Asia	5.6328	103225441	648748607	844063	0.102726400068051
CNS0178471	Asia	6.04646	97820969	604415441	770045	0.584472572830607
CNS0178472	Asia	6.59548	172172727	943846933	1139054	0.615523931329852
CNS0178473	Asia	6.46658	142847579	804796896	984648	0.669256441466516
CNS0178474	Asia	5.91381	141185001	832056306	1040427	0.0897937067503686
CNS0178475	Asia	6.96031	116933204	813390265	938657	1.11879856737072
CNS0178476	Asia	7.32951	181641891	1189642186	1389798	1.074630603401
CNS0178477	Asia	6.52945	125987229	695271976	852650	0.895391292475042
CNS0178478	Asia	6.85501	121296324	697012116	819911	1.19680327528811
CNS0178479	Asia	6.47448	154579554	815035745	950568	0.640384200188231
CNS0178480	Asia	6.07353	116964996	699190805	854427	0.430231038240374
CNS0178481	Asia	5.63595	177543731	929910817	1164611	-0.308376847595954
CNS0178482	Asia	6.14297	111008082	733462979	922760	0.459657578966766
CNS0178483	Asia	6.9874	202925800	1136993120	1493643	0.843474061245031
CNS0178484	Asia	6.09781	120206622	818051708	1065880	0.310783189337248
CNS0178485	Asia	6.13336	142229727	952858978	1248246	0.180585966782097
CNS0178486	Asia	5.42541	155429015	887939473	1087033	-0.480546741648179
CNS0178487	Asia	6.6234	134675584	906377422	1162904	0.715493891680867
CNS0178488	Asia	5.97677	142016531	695277114	782122	0.301590966542572
CNS0178489	Asia	6.75997	135344597	881034194	1144747	0.890237078680375
CNS0178490	Asia	6.29605	127530993	793974149	1039996	0.546100354115754
CNS0178491	Asia	6.17907	131042131	884646516	1216726	0.332570215873807
CNS0178492	Asia	6.23015	155725823	981166899	1255981	0.234468098368583
CNS0178493	Asia	5.65433	129175555	579620642	735698	0.24185325048589
CNS0178494	Asia	5.74446	128907920	712089458	899143	0.0984952898008231
CNS0178495	Asia	7.15019	197833711	1165294643	1317439	0.9035220109088
CNS0178496	Asia	5.70008	122374758	779510614	1050756	-0.0156184633450809
CNS0178497	Asia	7.04572	140957733	889618565	1078926	1.13143137246971
CNS0178498	Asia	6.60203	171882482	1034551549	1289590	0.535248749529966
CNS0178499	Asia	5.21578	120619194	769850220	985263	-0.512001332169752
CNS0178500	Asia	5.64984	105164226	761655681	1030759	-0.0402919849475609
CNS0178501	Asia	6.339	171142632	820343381	950582	0.496006136404385
CNS0178502	Asia	6.38164	136809125	875048384	1110142	0.507830946708011
CNS0178503	Asia	7.05028	126683739	780477247	1087219	1.35011073954041
CNS0178504	Asia	6.51933	110923980	719004583	893746	0.852340769174281
CNS0178505	Asia	5.56676	141912281	846755141	1072433	-0.270447651346972
CNS0178506	Asia	6.49113	129710666	845690935	1055831	0.646768777168294
CNS0178507	Asia	5.50396	115776093	758987434	986303	-0.200926678283392
CNS0178508	Asia	6.47394	122305109	814516639	961304	0.642770332377082
CNS0178509	Asia	5.25347	84391234	602228905	741893	-0.223529248261797
CNS0178510	Asia	6.17428	111272327	626552183	770541	0.656388935139869
CNS0178511	Asia	5.5478	109738318	751890176	959851	-0.156255652682749
CNS0178512	Asia	5.85229	123375217	866810027	1140240	0.00549225035682968
CNS0178513	Asia	6.61972	102036213	714719371	888277	0.958036460361046
CNS0178514	Asia	5.64154	157296651	982908806	1313006	-0.334742083016666
CNS0178515	Asia	6.32842	165244391	1138316527	1411354	0.151141868610049
CNS0178516	Asia	5.8528	90172268	652085290	837793	0.308568466257558
CNS0178517	Asia	6.09644	176667781	715728503	590342	0.23765167887848
CNS0178518	Asia	5.97968	160502294	784675636	750489	0.0899582183132544
CNS0178519	Asia	4.63577	180570990	555373765	675584	-0.744658040321212
CNS0178520	Asia	5.75038	196395444	1000891733	1088140	-0.345317098066263
CNS0178521	Asia	5.8119	129072379	712151851	834875	0.128878699034988
CNS0178522	Asia	5.93204	141618784	723971620	793262	0.19835869750561
CNS0178523	Asia	5.06001	169250722	1434585066	2075476	-1.29949173909472
CNS0178524	Asia	4.72939	45051128	273053348	282267	0.0422938101894462
CNS0178525	Asia	5.12465	168701932	693086240	627388	-0.652488477498848
CNS0178526	Asia	5.69073	171891639	866861786	1020775	-0.206047552776616
CNS0178527	Asia	5.48039	175195374	543487855	436788	-0.0826864402282775
CNS0178528	Asia	5.87476	208063765	765558284	708682	0.000540037085040861
CNS0178529	Asia	6.00548	187369373	786062761	657572	0.0495158417618974
CNS0178530	Asia	6.02934	174537121	815781164	739162	0.0704029196713222
CNS0178531	Asia	7.22132	137855961	1095830518	1231644	1.03495455157142
CNS0178532	Asia	7.16248	133610311	952595640	1159339	1.17236613533645
CNS0178533	Asia	6.99011	139317241	1049458595	1192157	0.857713056181639
CNS0178534	Asia	6.98701	137752453	984587895	1257291	0.984272709667983
CNS0178535	Asia	7.13426	137750358	1111248360	1323026	0.960899126780858
CNS0178536	Asia	6.63423	138445526	965983336	1077481	0.585604947849732
CNS0178537	Asia	7.20294	138225007	1126683649	1343364	1.01488898681538
CNS0178538	Asia	7.3379	137356406	1084817709	1252173	1.17606960010999
CNS0178539	Asia	7.38172	137692607	919186848	1014437	1.38340836858741
CNS0178540	Asia	7.35322	136912792	1008711983	1147366	1.26561400617404
CNS0178541	Asia	7.66584	139171555	1046236775	1226462	1.55253561594176
CNS0178542	Asia	7.11651	139182990	987483588	1061582	1.02491115946048
CNS0178543	Asia	7.03053	137492481	940581366	1024552	0.999870533325145
CNS0178544	Asia	7.40099	137919463	910598469	1020773	1.42100971271561
CNS0178545	Asia	7.43053	137490786	1022900059	1148150	1.3207081330247
CNS0178546	Asia	6.76203	137811384	955676954	1044429	0.715189119175831
CNS0178547	Asia	6.93315	120124215	676284444	699346	1.24447212624818
CNS0178548	Asia	6.74352	111571119	587632152	566054	1.1759436114726
CNS0178549	Asia	6.03004	125422807	644259471	635102	0.372625794332981
CNS0178550	Asia	7.01488	124586795	670639177	719442	1.35446476963588
CNS0178551	Asia	7.00133	120881410	676423190	743926	1.34319609609169
CNS0178552	Asia	7.2824	118945682	614451336	648988	1.71164627267153
CNS0178553	Asia	6.46615	124277847	471282357	490369	1.18615998506318
CNS0178554	Asia	6.82086	110767768	522896956	525507	1.4051931210096
CNS0178555	Asia	7.2209	124780099	654706528	689393	1.57820390277548
CNS0178556	Asia	6.94562	116865280	570713912	639468	1.48682585277539
CNS0178557	Asia	6.73928	116937332	618919494	699920	1.19415006060211
CNS0178558	Asia	7.2624	121209813	622547999	642557	1.66578135070329
CNS0178559	Asia	6.51138	111543724	660912243	711163	0.867116974026363
CNS0178560	Asia	7.32236	112842648	608953145	628762	1.7495636803916
CNS0178561	Asia	6.82442	120525252	650349617	662660	1.17229303940857
CNS0178562	Asia	6.34877	113660264	416318282	405335	1.17336950964614
CNS0178563	Asia	6.51663	112762224	507160376	521846	1.14725529788469
CNS0178564	Asia	6.97934	106799686	559866575	587453	1.50794963047206
CNS0178565	Asia	6.32268	111721467	390731205	370893	1.20551670993206
CNS0178566	Asia	7.16645	110183678	609507448	679696	1.63059726104092
CNS0178567	Asia	5.60387	150255361	589082496	571502	0.0417736078462056
CNS0178568	Asia	5.8063	147155698	668534889	723083	0.156118844755621
CNS0178573	Asia	5.48986	125554765	373410214	307354	0.354390988850222
CNS0178574	Asia	3.78104	150477069	364207776	379663	-1.20592541717823
CNS0178575	Asia	5.12023	149402566	491374282	558690	-0.159507344882133
CNS0178576	Asia	4.92978	123254070	389442658	427586	-0.109639105617591
CNS0178577	Asia	4.69372	157787786	383585101	435981	-0.307567781291318
CNS0178578	Asia	4.35347	140136900	1088795674	1702914	-1.66084390566656
CNS0178579	Asia	1.44528	134973899	487951983	771019	-3.66431334664598
