vOTU	type	present_samples	total_samples_in_type	prevalence	prevalence_percent	mean_abundance_all_samples	mean_abundance_present_samples	total_abundance
chicken-48656	chicken	422	1154	0.365684575389948	36.5684575389948	0.0277893497053726	0.0759926766824645	32.06890956
chicken-69392	chicken	401	1154	0.347487001733102	34.7487001733102	0.00479805668284229	0.0138078738453865	5.536957412
chicken-113323	chicken	347	1154	0.300693240901213	30.0693240901213	0.00921346522790295	0.0306407460317003	10.632338873
chicken-117787	chicken	336	1154	0.291161178509532	29.1161178509532	0.0132514067131716	0.0455122718660714	15.292123347
chicken-70310	chicken	305	1154	0.264298093587522	26.4298093587522	0.00304823213518198	0.011533311095082	3.517659884
chicken-131747	chicken	290	1154	0.251299826689775	25.1299826689775	0.00663139682582322	0.0263883859896552	7.652631937
chicken-103903	chicken	288	1154	0.249566724436742	24.9566724436742	0.0227181765459272	0.0910304712986111	26.216775734
chicken-147748	chicken	274	1154	0.237435008665511	23.7435008665511	0.00410642443240901	0.0172949408576642	4.738813795
chicken-148739	chicken	263	1154	0.22790294627383	22.790294627383	0.00448611331109185	0.0196843146806084	5.176974761
chicken-72660	chicken	247	1154	0.214038128249567	21.4038128249567	0.00577279495060659	0.0269708719554656	6.661805373
chicken-103759	chicken	247	1154	0.214038128249567	21.4038128249567	0.00375201170623917	0.0175296417368421	4.329821509
chicken-133680	chicken	235	1154	0.203639514731369	20.3639514731369	0.00718909259965338	0.0353030334468085	8.29621286
chicken-121020	chicken	230	1154	0.199306759098787	19.9306759098787	0.00977422415684576	0.0490411072913043	11.279454677
chicken-130696	chicken	224	1154	0.194107452339688	19.4107452339688	0.00818163749133449	0.0421500431473214	9.441609665
chicken-108237	chicken	220	1154	0.190641247833622	19.0641247833622	0.00201417936568458	0.0105652863090909	2.324362988
chicken-131020	chicken	212	1154	0.18370883882149	18.370883882149	0.00439422760138648	0.0239195219433962	5.070938652
chicken-127307	chicken	206	1154	0.178509532062392	17.8509532062392	0.00459023022183709	0.0257142023106796	5.297125676
chicken-128169	chicken	206	1154	0.178509532062392	17.8509532062392	0.00220458047573657	0.0123499314029126	2.544085869
chicken-107364	chicken	204	1154	0.176776429809359	17.6776429809359	0.00361347052166378	0.0204409067745098	4.169944982
chicken-32228	chicken	202	1154	0.175043327556326	17.5043327556326	0.0235318975571924	0.134434701886139	27.155809781
chicken-83725	chicken	202	1154	0.175043327556326	17.5043327556326	0.0144097946143847	0.0823213019059406	16.628902985
chicken-97292	chicken	195	1154	0.168977469670711	16.8977469670711	0.00568458808665511	0.0336411007794872	6.560014652
chicken-110695	chicken	188	1154	0.162911611785095	16.2911611785095	0.00233359185875217	0.0143242819414894	2.692965005
chicken-71456	chicken	188	1154	0.162911611785095	16.2911611785095	0.00157126981109185	0.00964492213829787	1.813245362
chicken-70799	chicken	186	1154	0.161178509532062	16.1178509532062	0.00132616120537262	0.00822790339247312	1.530390031
chicken-135332	chicken	171	1154	0.148180242634315	14.8180242634315	0.00333066911611785	0.0224771471345029	3.84359216
chicken-8413	chicken	170	1154	0.147313691507799	14.7313691507799	0.00845330537781629	0.0573830259176471	9.755114406
chicken-106419	chicken	170	1154	0.147313691507799	14.7313691507799	0.00154640221577123	0.0104973421	1.784548157
chicken-82429	chicken	169	1154	0.146447140381283	14.6447140381283	0.00238138487435009	0.016261054112426	2.748118145
