SRA Run	BioProject	Manure	Collection_Date	Continent	Country	Coordinate
SRR13228386	PRJNA683083	swine	2018	North_America	USA	
SRR13228387	PRJNA683083	swine	2018	North_America	USA	
SRR13228388	PRJNA683083	swine	2018	North_America	USA	
SRR13228389	PRJNA683083	swine	2018	North_America	USA	
SRR13228390	PRJNA683083	swine	2018	North_America	USA	
SRR13228391	PRJNA683083	swine	2018	North_America	USA	
SRR13228392	PRJNA683083	swine	2018	North_America	USA	
SRR13228396	PRJNA683083	swine	2018	North_America	USA	
SRR13228397	PRJNA683083	swine	2018	North_America	USA	
ERR3393510	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393511	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393512	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393513	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393514	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393515	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393516	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393517	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393518	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393519	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393520	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393521	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393522	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393523	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393524	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393525	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393526	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393527	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393528	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393529	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393530	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393531	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393532	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393533	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393534	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393535	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393536	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393537	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393538	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393539	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393540	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393541	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393542	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393543	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393544	PRJEB32496	swine	2017	Asia	South_Korea	
ERR3393545	PRJEB32496	swine	2017	Asia	South_Korea	
DRR025070	PRJDB3293	swine	2013	Asia	Japan	35.22N135.54E
DRR025071	PRJDB3293	swine	2013	Asia	Japan	35.29N139.3E
DRR025072	PRJDB3293	swine	2013	Africa	Gabon	-2.23N10.30E
DRR025073	PRJDB3293	swine	2013	Africa	Gabon	-2.23N10.30E
DRR025074	PRJDB3293	swine	2013	Asia	Japan	34.53N137.36E
DRR025075	PRJDB3293	swine	2013	Asia	Japan	26.51N128.15E
SRR7188232	PRJNA471937	swine	2015	Asia	China	22.42N112.13E
SRR7188233	PRJNA471937	swine	2015	Asia	China	22.42N112.13E
SRR7188234	PRJNA471937	swine	2015	Asia	China	22.42N112.13E
SRR7188235	PRJNA471937	swine	2015	Asia	China	22.42N112.13E
SRR7188236	PRJNA471937	swine	2015	Asia	China	22.42N112.13E
SRR7188237	PRJNA471937	swine	2015	Asia	China	22.42N112.13E
SRR3176534	PRJNA312048	swine	2013	Asia	China	28.19N116.27E
SRR3178346	PRJNA312048	swine	2013	Asia	China	
SRR3178347	PRJNA312048	swine	2013	Asia	China	
SRR16235687	PRJNA769425	swine	2019	Asia	Thailand	
SRR16235688	PRJNA769425	swine	2019	Asia	Thailand	
SRR16235689	PRJNA769425	swine	2019	Asia	Thailand	
SRR16235690	PRJNA769425	swine	2019	Asia	Thailand	
SRR16235692	PRJNA769425	swine	2019	Asia	Thailand	
SRR16235693	PRJNA769425	swine	2019	Asia	Thailand	
SRR16235695	PRJNA769425	swine	2019	Asia	Thailand	
SRR16235696	PRJNA769425	swine	2019	Asia	Thailand	
SRR16235697	PRJNA769425	swine	2019	Asia	Thailand	
SRR16235698	PRJNA769425	swine	2019	Asia	Thailand	
SRR16235699	PRJNA769425	swine	2019	Asia	Thailand	
SRR16235700	PRJNA769425	swine	2019	Asia	Thailand	
SRR16235701	PRJNA769425	swine	2019	Asia	Thailand	
SRR16235702	PRJNA769425	swine	2019	Asia	Thailand	
SRR16235703	PRJNA769425	swine	2018	Asia	Thailand	
SRR5240725	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240726	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240727	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240728	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240730	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240731	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240732	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240734	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240735	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240736	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240737	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240741	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240742	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240743	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240744	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240745	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240747	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240748	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240749	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240750	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
SRR5240751	PRJNA373834	swine	2016	Europe	Germany	52.45N13.28E
ERR1855535	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855536	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855537	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855538	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855539	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855540	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855541	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855542	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855543	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855544	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855545	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855546	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855547	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855548	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855549	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855550	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855551	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855552	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855554	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855555	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
ERR1855556	PRJEB19642	swine	2017	Europe	Germany	52.45N13.28E
SRR8655112	PRJNA524980	swine	2018	Asia	China	
SRR8655113	PRJNA524980	swine	2018	Asia	China	
SRR8655114	PRJNA524980	swine	2017	Asia	China	
SRR8655115	PRJNA524980	swine	2017	Asia	China	
SRR8655116	PRJNA524980	swine	2017	Asia	China	
SRR8655117	PRJNA524980	swine	2018	Asia	China	
SRR8655118	PRJNA524980	swine	2018	Asia	China	
SRR8655119	PRJNA524980	swine	2018	Asia	China	
SRR8655120	PRJNA524980	swine	2018	Asia	China	
ERR1606222	PRJEB15296	swine	2015	Asia	China	37.94N102.61E
ERR1606223	PRJEB15296	swine	2015	Asia	China	37.94N102.61E
ERR1606358	PRJEB15296	swine	2015	Asia	China	37.94N102.61E
SRR2329609	PRJNA293646	swine	2014	Asia	China	39.9N116.3E
SRR2329666	PRJNA293646	swine	2014	Asia	China	39.9N116.3E
SRR2329775	PRJNA293646	swine	2014	Asia	China	39.9N116.3E
SRR2329877	PRJNA293646	swine	2014	Asia	China	39.9N116.3E
ERR3648472	PRJEB31742	swine	2018	Asia	China	
ERR3648605	PRJEB31742	swine	2018	Asia	China	
ERR3648606	PRJEB31742	swine	2018	Asia	China	
ERR3649965	PRJEB31742	swine	2018	Asia	China	
