Country	Mean_viral_Shannon_index	Antimicrobial_usage_in_livestock_mg_per_PCU	Scale_of_livestock_breeding_head	Agricultural_production_ha	Economic_level_USD_per_capita	Livestock_feces_production_kg	Pesticides_usage_kg_per_ha	Livestock_meat_production_1000_tonnes	Fertilization_of_livestock_manure_kg	Human_population_1000_person
Russia	7.19184	75.59826	548419738	33082214	11378.66597	1540663154	0.6	9895	667833262.6	145652.293
Myanmar	6.476280667	91.840385	92541386	7901397	1397.812805	1183794424	1.22	3365	301977235.6	52666.014
South Korea	6.226487	121.5339	187846698	833785	33375.75394	265913153.6	11.73	2493	84757347.25	51676.9
Denmark	6.033234295	20.45157	33523000	5331507.5	61879.77226	261293662.7	1.09	1868	140063071.8	5766.686
France	5.995924932	22.00374	271616040	7027040	43420.22489	1394315498	4.45	5387	403172128.3	64277.808
Norway	5.801683333	4.339035	17295368	5429572.96	82261.55288	72715067.63	0.76	324	25139848.68	5312.32
Gabon	5.783345	30.534264	3541137	1174078.823	7694.90875	6368317.282	1.40019	9	3445207.752	2192.012
Netherlands	5.733418491	20.833656	120703000	812976.49	52877.54352	457474461.7	10.22	3069	228600900.4	17286.042
Japan	5.7198925	62.793568	336157000	1905061	39901.79263	348603480.2	11.84	4009	131860217.9	126255.866
China	5.509259342	392.55467	5679372725	110065187	9877.591533	8120040770	2.17	164335	3429128144	1448928.199
Belgium	5.418261321	40.137016	40934220	702026.66	47455.52332	235873326.2	7.59	1820	92799331.59	11448.595
Italy	5.288527963	72.59271	154672368	3003150	34936.91364	611373260.5	5.91	3557	255432023.3	59877.425
Poland	5.186786863	68.81839	199411000	15557904.78	15284.46473	562611191.7	2.04	5226	254279585.4	38521.457
Uganda	5.160659	20.967749	51185796	1462888	820.79469	711590419.6	0.01	365	58328079.64	41515.395
Australia	5.098508074	165.06085	128713764	11094927	58225.1617	1687159398	2.03	3890	66422472.33	24979.23
Canada	5.057217413	60.203117	196872000	14092756.64	46493.6912	742637417.2	2.26	4831	177314377.1	37035.254
United Kingdom	4.9199154	15.608991	192947000	3401465.265	43324.13786	740512012.4	3.17	3788	220902603	66432.993
Bulgaria	4.708170071	74.94107	20026670	1684050	9323.852927	48410710.84	1.4	216	23312639.07	7117.431
Germany	4.632047333	36.395947	317510495	4280349.7	47944.53274	1199084397	3.77	8064	501731218.4	82896.696
Thailand	4.596696	337.77734	288687315	11782357	7124.558867	378869862.1	1.58	2837	107000898.4	71127.802
Spain	4.585109813	78.777756	415068687	2560030	30383.42897	788143022.5	3.29	6821	351002579.9	46792.043
India	4.561101667	114.25339	991932763	95657930	2018.400292	8590173541	0.35	7029	1561929004	1369003.306
USA	4.401887701	30.603518	1679368200	85958900	61820.48447	6056373975	2.54	46460	1584784562	332140.037
Cameroon	4.35207505	31.499397	60689609	1510701	1594.060109	293688899	0.94	194	32038001.32	25076.747
Brazil	3.425470054	56.255173	1720688301	54976272	9121.020091	10312818890	5.94	27946	1471740900	210166.592
Malawi	3.395786667	16.09653	26978800	1996866	537.73538	171691196.5	0.62	509	92497431.15	18367.883
