sample	num_seqs	sum_len	min_len	avg_len	max_len	N50	N50_num	GC(%)	nReads	Shannon index	Viral_Count	Viral_Min_len	Viral_Max_len	Viral_Mean_len	Viral_Total_len	Viral_N50_len	Continent	Country
CNS0178468	1149226	953400257	200	829.6	347939	1001	12394	44.4	155228005	6.7083	2111	5001	244845	11258.57	23766849	12425	Asia	China
CNS0178469	1198741	919036460	200	766.7	409248	868	10930	45.92	123560759	5.69734	590	5003	283381	11578.01	6831026	12759	Asia	China
CNS0178470	844063	648748607	200	768.6	169356	869	9643	43.97	103225441	5.6328	880	5008	152767	11051.59	9725397	12057	Asia	China
CNS0178471	770045	604415441	200	784.9	247473	898	9165	48.39	97820969	6.04646	1076	5001	247473	12855.61	13832634	15255	Asia	China
CNS0178472	1139054	943846933	200	828.6	247472	1011	12564	46.04	172172727	6.59548	2031	5000	247472	12197.12	24772347	13909	Asia	China
CNS0178473	984648	804796896	200	817.3	230703	975	11835	46.09	142847579	6.46658	2077	5004	191466	11121.96	23100305	11949	Asia	China
CNS0178474	1040427	832056306	200	799.7	377797	936	11519	47.01	141185001	5.91381	1152	5000	167544	11385.04	13115569	12308	Asia	China
CNS0178475	938657	813390265	200	866.5	299232	1084	12027	44.9	116933204	6.96031	2623	5000	231328	11063.68	29020035	12065	Asia	China
CNS0178476	1389798	1189642186	200	856.0	240831	1070	13753	45.67	181641891	7.32951	4035	5000	240831	11777.64	47522783	13149	Asia	China
CNS0178477	852650	695271976	200	815.4	323352	968	10970	44.61	125987229	6.52945	1764	5000	255369	12335.7	21760172	14512	Asia	China
CNS0178478	819911	697012116	200	850.1	440423	1032	11623	45.55	121296324	6.85501	2145	5000	156038	12223.98	26220437	14101	Asia	China
CNS0178479	950568	815035745	200	857.4	284794	1060	12387	45.01	154579554	6.47448	2077	5000	180845	11946.29	24812434	13328	Asia	China
CNS0178480	854427	699190805	200	818.3	331817	987	11347	45.77	116964996	6.07353	1445	5001	331817	11375.57	16437705	12454	Asia	China
CNS0178481	1164611	929910817	200	798.5	314469	974	12648	47.51	177543731	5.63595	1171	5003	241755	12410.9	14533168	14029	Asia	China
CNS0178482	922760	733462979	200	794.9	222554	925	11117	46.28	111008082	6.14297	1065	5003	167090	12108.26	12895294	13366	Asia	China
CNS0178483	1493643	1136993120	200	761.2	495038	861	12414	47.05	202925800	6.9874	2990	5000	248923	11633.58	34784390	13010	Asia	China
CNS0178484	1065880	818051708	200	767.5	264877	888	10542	48.36	120206622	6.09781	933	5000	224955	10787.96	10065169	11523	Asia	China
CNS0178485	1248246	952858978	200	763.4	238057	859	10997	43.66	142229727	6.13336	1921	5000	171027	11991.72	23036087	13486	Asia	China
CNS0178486	1087033	887939473	200	816.8	169452	998	12000	42.33	155429015	5.42541	1064	5005	153930	10905.09	11603016	11535	Asia	China
CNS0178487	1162904	906377422	200	779.4	204693	894	11014	45.45	134675584	6.6234	2242	5000	204693	12115.87	27163780	13604	Asia	China
CNS0178488	782122	695277114	200	889.0	392127	1148	11931	42.4	142016531	5.97677	1344	5004	114323	11762.9	15809340	13083	Asia	China
CNS0178489	1144747	881034194	200	769.6	600197	875	10744	46.42	135344597	6.75997	1984	5001	164552	11842.37	23495262	13153	Asia	China
CNS0178490	1039996	793974149	200	763.4	216691	846	10646	42.6	127530993	6.29605	1606	5002	216691	12109.44	19447766	13890	Asia	China
CNS0178491	1216726	884646516	200	727.1	265392	781	10947	46.76	131042131	6.17907	1066	5001	122874	11905.57	12691336	13266	Asia	China
CNS0178492	1255981	981166899	200	781.2	191249	906	11705	45.25	155725823	6.23015	1585	5002	126925	12209.09	19351407	14329	Asia	China
CNS0178493	735698	579620642	200	787.9	473665	912	9549	47.58	129175555	5.65433	785	5000	138021	11245.73	8827899	12254	Asia	China
CNS0178494	899143	712089458	200	792.0	255916	924	10542	44.46	128907920	5.74446	2450	5001	255916	11471.82	28105960	12548	Asia	China
CNS0178495	1317439	1165294643	200	884.5	517928	1143	14111	44.22	197833711	7.15019	4042	5000	185960	11898.44	48093506	13739	Asia	China
CNS0178496	1050756	779510614	200	741.9	265339	817	10165	45.27	122374758	5.70008	820	5009	167365	11309.35	9273667	12433	Asia	China
CNS0178497	1078926	889618565	200	824.5	623135	989	11459	46.71	140957733	7.04572	2817	5001	224873	12754.56	35929594	14574	Asia	China
CNS0178498	1289590	1034551549	200	802.2	235562	945	12544	45.87	171882482	6.60203	2237	5003	167195	12000.73	26845625	13119	Asia	China
CNS0178499	985263	769850220	200	781.4	198103	899	10575	44.7	120619194	5.21578	1249	5001	143330	11364.93	14194793	12450	Asia	China
CNS0178500	1030759	761655681	200	738.9	122013	818	9820	45.03	105164226	5.64984	558	5001	122013	10666.62	5951974	10789	Asia	China
CNS0178501	950582	820343381	200	863.0	416969	1084	11949	47.16	171142632	6.339	1752	5002	313343	14186.48	24854719	18512	Asia	China
CNS0178502	1110142	875048384	200	788.2	224169	908	10820	45.08	136809125	6.38164	1484	5002	167643	11612.37	17232757	13152	Asia	China
CNS0178503	1087219	780477247	200	717.9	456506	767	10403	44.71	126683739	7.05028	2548	5001	254199	11352.17	28925325	12582	Asia	China
CNS0178504	893746	719004583	200	804.5	326160	956	10486	46.07	110923980	6.51933	1936	5001	165241	11300.57	21877910	12403	Asia	China
CNS0178505	1072433	846755141	200	789.6	179754	925	11543	48.79	141912281	5.56676	808	5000	148805	10832.2	8752419	11603	Asia	China
CNS0178506	1055831	845690935	200	801.0	293169	942	11253	45.43	129710666	6.49113	2209	5000	201189	11335.02	25039067	12835	Asia	China
CNS0178507	986303	758987434	200	769.5	655207	880	10357	48.14	115776093	5.50396	479	5007	91096	12558.25	6015400	14739	Asia	China
CNS0178508	961304	814516639	200	847.3	286884	1044	11452	48.35	122305109	6.47394	1617	5000	236110	12784.9	20673189	15267	Asia	China
CNS0178509	741893	602228905	200	811.7	258778	955	9837	47.93	84391234	5.25347	645	5003	113139	11546.19	7447295	12171	Asia	China
CNS0178510	770541	626552183	200	813.1	233709	954	10125	44.21	111272327	6.17428	1260	5000	167827	11880.36	14969257	13664	Asia	China
CNS0178511	959851	751890176	200	783.3	181315	898	10412	46.68	109738318	5.5478	586	5001	168779	11348.08	6649976	12656	Asia	China
CNS0178512	1140240	866810027	200	760.2	417685	859	10581	45.26	123375217	5.85229	977	5004	417685	11050.63	10796469	11717	Asia	China
CNS0178513	888277	714719371	200	804.6	517930	949	10514	45.99	102036213	6.61972	1622	5004	164552	11380.57	18459287	12595	Asia	China
CNS0178514	1313006	982908806	200	748.6	224956	859	11385	48.65	157296651	5.64154	952	5000	224956	11973.63	11398898	13369	Asia	China
CNS0178515	1411354	1138316527	200	806.5	276622	949	12943	46.01	165244391	6.32842	1053	5012	101301	11493.99	12103168	12986	Asia	China
CNS0178516	837793	652085290	200	778.3	255737	886	10103	47.06	90172268	5.8528	625	5004	117350	10813.74	6758585	11900	Asia	China
CNS0178517	590342	715728503	200	1212.4	514276	2595	13427	46.02	176667781	6.09644	862	5006	186534	14967.64	12902105	21677	Asia	China
CNS0178518	750489	784675636	200	1045.6	520505	1638	13254	49.59	160502294	5.97968	764	5014	270374	15689.78	11986993	23020	Asia	China
CNS0178519	675584	555373765	200	822.1	1123421	977	10144	48.43	180570990	4.63577	371	5011	245929	15198.07	5638483	19827	Asia	China
CNS0178520	1088140	1000891733	200	919.8	458383	1237	13874	50.76	196395444	5.75038	882	5001	110130	12400.6	10937325	15474	Asia	China
CNS0178521	834875	712151851	200	853.0	382613	1047	11784	46.16	129072379	5.8119	664	5001	149604	14818.29	9839342	21210	Asia	China
CNS0178522	793262	723971620	200	912.7	491252	1211	12290	46.97	141618784	5.93204	685	5002	311035	15600.26	10686178	23567	Asia	China
CNS0178523	2075476	1434585066	200	691.2	940471	714	10725	44.65	169250722	5.06001	418	5000	273422	15956.79	6669940	23948	Asia	China
CNS0178524	282267	273053348	200	967.4	445105	1301	7121	48.18	45051128	4.72939	215	5008	198808	17136.86	3684425	29035	Asia	China
CNS0178525	627388	693086240	200	1104.7	425687	1776	12099	45.32	168701932	5.12465	628	5009	251676	16888.32	10605862	25141	Asia	China
CNS0178526	1020775	866861786	200	849.2	362945	1049	12914	46.49	171891639	5.69073	830	5004	182151	14776.85	12264783	23660	Asia	China
CNS0178527	436788	543487855	200	1244.3	410980	2981	11450	48.34	175195374	5.48039	682	5009	211706	16707.41	11394453	25268	Asia	China
CNS0178528	708682	765558284	200	1080.3	591386	1714	12774	51.02	208063765	5.87476	799	5004	150118	14661.88	11714846	20731	Asia	China
CNS0178529	657572	786062761	200	1195.4	640133	2279	13751	49.49	187369373	6.00548	915	5005	230829	15672.17	14340037	22987	Asia	China
CNS0178530	739162	815781164	200	1103.7	504696	1851	14223	50.04	174537121	6.02934	883	5009	136725	14935.7	13188219	19803	Asia	China
CNS0178531	1231644	1095830518	200	889.7	243733	1121	13055	46.56	137855961	7.22132	3150	5000	243733	10820.94	34085973	11575	Asia	China
CNS0178532	1159339	952595640	200	821.7	182429	958	11272	47.42	133610311	7.16248	2608	5003	180601	11009.19	28711959	12007	Asia	China
CNS0178533	1192157	1049458595	200	880.3	310174	1072	12443	47.53	139317241	6.99011	2444	5002	209048	11283.97	27578016	12525	Asia	China
CNS0178534	1257291	984587895	200	783.1	511593	894	11552	46.2	137752453	6.98701	2171	5000	511593	10498.64	22792541	11091	Asia	China
CNS0178535	1323026	1111248360	200	839.9	454573	987	12197	44.36	137750358	7.13426	3144	5000	454573	12886.46	40515027	15168	Asia	China
CNS0178536	1077481	965983336	200	896.5	655345	1089	12630	48.55	138445526	6.63423	2252	5001	357782	11850.97	26688375	13420	Asia	China
CNS0178537	1343364	1126683649	200	838.7	242563	969	12362	45.67	138225007	7.20294	3337	5001	242563	11423.48	38120151	12469	Asia	China
CNS0178538	1252173	1084817709	200	866.3	313009	1027	13397	45.15	137356406	7.3379	4001	5000	225663	12266.91	49079901	14243	Asia	China
CNS0178539	1014437	919186848	200	906.1	256674	1156	12555	43.82	137692607	7.38172	4098	5001	256674	11261.48	46149556	12457	Asia	China
CNS0178540	1147366	1008711983	200	879.2	247519	1086	12688	45.56	136912792	7.35322	3730	5000	218425	11315.23	42205796	12447	Asia	China
CNS0178541	1226462	1046236775	200	853.1	413078	1038	12427	43.46	139171555	7.66584	4449	5000	413078	11397.89	50709193	12365	Asia	China
CNS0178542	1061582	987483588	200	930.2	227938	1212	13131	48.18	139182990	7.11651	2489	5002	224979	10737.18	26724851	11621	Asia	China
CNS0178543	1024552	940581366	200	918.0	270476	1186	12749	45.19	137492481	7.03053	3345	5000	270476	11122.45	37204606	11820	Asia	China
CNS0178544	1020773	910598469	200	892.1	249974	1132	12361	44.61	137919463	7.40099	4828	5002	249974	11411.18	55093158	12743	Asia	China
CNS0178545	1148150	1022900059	200	890.9	213826	1116	12931	45.18	137490786	7.43053	4032	5000	213826	11470.21	46247880	12645	Asia	China
CNS0178546	1044429	955676954	200	915.0	265974	1178	12971	45.58	137811384	6.76203	2824	5000	265974	11005.83	31080471	11748	Asia	China
CNS0178547	699346	676284444	200	967.0	244389	1344	11874	45.46	120124215	6.93315	2466	5002	244389	12271.78	30262207	14142	Asia	China
CNS0178548	566054	587632152	200	1038.1	287553	1521	11281	46.38	111571119	6.74352	2123	5002	249955	12077.39	25640305	14102	Asia	China
CNS0178549	635102	644259471	200	1014.4	443058	1461	11542	45.82	125422807	6.03004	1960	5004	409460	13458.03	26377745	16163	Asia	China
CNS0178550	719442	670639177	200	932.2	234506	1228	12010	45.68	124586795	7.01488	2513	5001	234506	11375.53	28586695	12574	Asia	China
